
Quantile (q) = 0.025
Accuracy (r) = +/- 0.005
Probability (s) = 0.95 
                                                                   
                             Burn-in  Total Lower bound  Dependence
                             (M)      (N)   (Nmin)       factor (I)
 Lambdaah.selection.1        30       39920 3746         10.70     
 Lambdaah.selection.2        10       19685 3746          5.25     
 Lambdaah.term.1             30       41280 3746         11.00     
 Lambdaah.term.2             30       43180 3746         11.50     
 Lambdaah.quorum.1           30       40460 3746         10.80     
 Lambdaah.quorum.2           20       39420 3746         10.50     
 Lambdaah.dismissal.1        20       38500 3746         10.30     
 Lambdaah.dismissal.2        30       39980 3746         10.70     
 Lambdaah.independence.1     20       39350 3746         10.50     
 Lambdaah.independence.2     20       38620 3746         10.30     
 Lambdaah.reappointment.1    10       19355 3746          5.17     
 Lambdaah.reappointment.2    20       39980 3746         10.70     
 Lambdaah.requirement.1      20       40420 3746         10.80     
 Lambdaah.requirement.2      15       20090 3746          5.36     
 Lambdamb.fixed.1            30       40340 3746         10.80     
 Lambdamb.fixed.2            30       40070 3746         10.70     
 Lambdamb.independence.1     45       64185 3746         17.10     
 Lambdamb.independence.2     20       39740 3746         10.60     
 Lambdamb.requirement.1      30       40960 3746         10.90     
 Lambdamb.requirement.2      30       56565 3746         15.10     
 Lambdaagency.independence.1 45       63135 3746         16.90     
 Lambdaagency.independence.2 20       39380 3746         10.50     
 Lambdaagency.report.1       10       18850 3746          5.03     
 Lambdaagency.report.2       20       38950 3746         10.40     
 Lambdaagency.program.1      10       18785 3746          5.01     
 Lambdaagency.program.2      15       20080 3746          5.36     
 Lambdaagency.appeal.1       30       44390 3746         11.80     
 Lambdaagency.appeal.2       20       38380 3746         10.20     
 gamma2.ah.selection         40       46850 3746         12.50     
 gamma2.ah.term              25       27075 3746          7.23     
 gamma2.ah.quorum            40       46780 3746         12.50     
 gamma2.mb.requirement       25       27515 3746          7.35     
 phi.ACER.2                  20       39550 3746         10.60     
 phi.BBI JU.2                30       40080 3746         10.70     
 phi.BEREC OFFICE.2          20       38480 3746         10.30     
 phi.CdT.2                   30       40380 3746         10.80     
 phi.CEDEFOP.2               20       38880 3746         10.40     
 phi.CEPOL.2                 20       39190 3746         10.50     
 phi.CLEAN SKY JU.2          20       38610 3746         10.30     
 phi.CPVO.2                  20       39190 3746         10.50     
 phi.EASA.2                  20       38740 3746         10.30     
 phi.EASO.2                  20       39320 3746         10.50     
 phi.EBA.2                   15       20830 3746          5.56     
 phi.ECDC.2                  20       38440 3746         10.30     
 phi.ECHA.2                  15       20030 3746          5.35     
 phi.ECSEL JU.2              30       40830 3746         10.90     
 phi.EDA.2                   30       40230 3746         10.70     
 phi.EEA.2                   30       41190 3746         11.00     
 phi.EFCA.2                  10       19895 3746          5.31     
 phi.EFSA.2                  20       39670 3746         10.60     
 phi.EIGE.2                  20       39670 3746         10.60     
 phi.EIOPA.2                 20       37220 3746          9.94     
 phi.EIT.2                   20       38940 3746         10.40     
 phi.EMA.2                   20       38740 3746         10.30     
 phi.EMCDDA.2                20       39130 3746         10.40     
 phi.EMSA.2                  20       38250 3746         10.20     
 phi.ENISA.2                 20       38710 3746         10.30     
 phi.ERA.2                   10       19855 3746          5.30     
 phi.ESMA.2                  20       38970 3746         10.40     
 phi.ETF.2                   10       19670 3746          5.25     
 phi.EU-LISA.2               20       38570 3746         10.30     
 phi.EU-OSHA.2               10       19970 3746          5.33     
 phi.EUIPO.2                 20       39170 3746         10.50     
 phi.EUISS.2                 15       21270 3746          5.68     
 phi.EUROFOUND.2             20       37640 3746         10.00     
 phi.EUROJUST.2              20       38560 3746         10.30     
 phi.EUROPOL.2               20       38980 3746         10.40     
 phi.F4E JU.2                30       41140 3746         11.00     
 phi.FCH 2 JU.2              30       40310 3746         10.80     
 phi.FRA.2                   10       19655 3746          5.25     
 phi.Frontex.2               10       19715 3746          5.26     
 phi.GSA.2                   20       38860 3746         10.40     
 phi.IMI JU.2                30       40270 3746         10.80     
 phi.S2R JU.2                15       20370 3746          5.44     
 phi.SatCen.2                20       38750 3746         10.30     
 phi.SESAR JU.2              20       39490 3746         10.50     
 phi.SRB.2                   20       40140 3746         10.70     

